postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,ALGO,Total Potentian incl +100
7250,4061,19839,19.3,22539,16550,5538,451,3825,234,2,334207,"2,138,924",420.2,11683,BLACKSTONE HEIGHTS,TAS,147.077589,-41.432254,LAUNCESTON DC,Delivery Area,Updated 4-Dec-2022,60203,North East,602,Launceston and North East,R3,-41.46,147.0820001,60201104404,60201104404,602011044,Prospect Vale - Blackstone,60201,Launceston,602,Launceston and North East,2,2,2,2,Bass,,T1,PHN601,Tasmania,Launceston,64010,Lyons,Rural,984,334658
2756,3994,12972,23.3,32431,14561,17870,0,3019,975,0,344062,"2,201,995",448,5631,BLIGH PARK,NSW,150.88744,-33.466271,NEPEAN DF,Delivery Area,Updated 6-Feb-2020,12404,Richmond - Windsor,124,Sydney - Outer West and Blue Mountains,R3,-33.638,150.799,12404146744,12404146744,124041467,Windsor - Bligh Park,12404,Richmond - Windsor,124,Sydney - Outer West and Blue Mountains,1,1,1,1,Macquarie,93.05556488,N1,PHN104,Nepean Blue Mountains,The Hills Shire,17420,Macquarie,Provincial,962,344062
2320,5698,16098,29.4,44330,24456,17231,2643,4731,962,5,346089,"2,214,972",450.2,3198,ABERGLASSLYN,NSW,151.543675,-32.741737,METFORD DC,Delivery Area,Updated 6-Feb-2020,10603,Port Stephens,106,Hunter Valley exc Newcastle,R3,-32.694656,151.534608,10602111703,10602111745,106021117,Maitland - West,10602,Maitland,106,Hunter Valley exc Newcastle,1,1,1,1,Paterson,,N2,PHN108,Hunter New England and Central Coast,Maitland,15050,Paterson,Provincial,945,348732
3630,4257,15932,24.5,30570,16506,8264,5800,3905,343,9,320844,"2,053,400",459.9,7393,BENARCH,VIC,145.403176,-36.380853,Shepparton,,Updated 6-Feb-2020,21603,Shepparton,216,Shepparton,R3,-36.4616,145.558,21603141813,21603141813,216031418,Shepparton Region - East,21603,Shepparton,216,Shepparton,2,2,5,5,Nicholls,115,V2,PHN205,Murray,Greater Shepparton,22830,Nicholls,Rural,923,326644
3551,5997,13528,40.7,36604,26526,8813,1265,5510,484,3,334432,"2,140,366",446.8,7685,ARNOLD,VIC,144.457937,-36.78137,BENDIGO MC OPERATIONS,Delivery Area,Updated 6-Feb-2020,21601,Campaspe,216,Shepparton,R3,-36.6723618,143.8186485,20203103307,20203103307,202031033,Loddon,20203,Loddon - Elmore,202,Bendigo,2,2,5,5,Bendigo,188.7835846,V2,PHN206,Western Victoria,Greater Bendigo,22620,Nicholls,Rural,920,335697
2680,3462,8399,31.5,67801,12872,17347,37582,2648,804,10,330854,"2,117,463",490.7,3685,BEELBANGERA,NSW,145.914625,-34.321422,GRIFFITH DC,Delivery Area,Updated 6-Feb-2020,11301,Griffith - Murrumbidgee (West),113,Riverina,R3,-34.2491286,146.1048314,11301125705,11301125705,113011257,Griffith Region,11301,Griffith - Murrumbidgee (West),113,Riverina,3,3,3,3,Farrer,115.5365219,N2,PHN110,Murrumbidgee,Griffith,13450,Farrer,Rural,917,368436
3195,3323,12963,23.2,23823,13592,9245,986,3002,317,4,317830,"2,034,115",404.7,6626,ASPENDALE,VIC,145.104105,-38.007024,BRAESIDE DC,Delivery Area,Updated 6-Feb-2020,20803,Kingston,208,Melbourne - Inner South,R1,-38.025,145.104,20803118928,20803118928,208031189,Edithvale - Aspendale,20803,Kingston,208,Melbourne - Inner South,1,1,1,1,Isaacs,3.205188274,V1,PHN203,South Eastern Melbourne,Kingston,23430,Isaacs,Outer Metropolitan,914,318816
2750,4579,17346,23.4,30633,17783,11871,979,4055,522,2,321400,"2,056,959",416.3,5608,EMU HEIGHTS,NSW,150.678551,-33.755476,NEPEAN DF,Delivery Area,Updated 6-Feb-2020,12403,Penrith,124,Sydney - Outer West and Blue Mountains,R1,-33.73521,150.6503,12403145924,12403145924,124031459,Emu Plains - Leonay,12403,Penrith,124,Sydney - Outer West and Blue Mountains,1,1,1,1,Lindsay,24.40365028,N1,PHN104,Nepean Blue Mountains,Penrith,16350,Lindsay,Outer Metropolitan,914,322379
3500,4241,15357,23.7,32070,18266,13654,150,3637,603,1,324071,"2,074,054",474.7,7806,MILDURA,VIC,142.154161,-34.1931,MILDURA DC,Delivery Area,Updated 6-Feb-2020,21502,Mildura,215,North West,R3,-34.2151229,142.1169401,21502139764,21502147004,215021470,Mildura - South,21502,Mildura,215,North West,3,3,3,3,Mallee,,V2,PHN205,Murray,Mildura,24780,Mallee,Rural,910,324221
4300,13461,24429,49,81469,57099,22124,2246,11977,1478,6,367202,"2,350,093",513.6,11978,AUGUSTINE HEIGHTS,QLD,152.884999,-27.682273,GOODNA DC,Delivery Area,Updated 4-Dec-2022,31004,Springfield - Redbank,310,Ipswich,R2,-27.669167,152.893611,31004129605,31004129605,310041296,Bellbird Park - Brookwater,31004,Springfield - Redbank,310,Ipswich,1,1,1,1,Oxley,47.61064148,Q2,PHN304,Darling Downs and West Moreton,Logan,34590,Oxley,Outer Metropolitan,897,369448
2261,5512,23080,21.4,32609,22621,8303,1685,4942,569,1,312109,"1,997,496",404.9,2564,BATEAU BAY,NSW,151.519708,-33.315827,LONG JETTY DC,Delivery Area,Updated 6-Feb-2020,10202,Wyong,102,Central Coast,R3,-33.382,151.485,10202104412,10202104412,102021044,Bateau Bay - Killarney Vale,10202,Wyong,102,Central Coast,1,1,1,1,Dobell,,N1,PHN108,Hunter New England and Central Coast,Central Coast,11650,Dobell,Provincial,896,313794
4352,6855,11937,50.7,40142,26846,12064,1232,6057,796,2,331032,"2,118,608",494.9,9531,AMIENS,QLD,151.94182,-27.627661,AMIENS - CMA,Delivery Area,Updated 6-Feb-2020,31701,Toowoomba,317,Toowoomba,R3,-28.5887,151.809,30703118806,30703118806,307031188,Stanthorpe Region,30703,Granite Belt,307,Darling Downs - Maranoa,3,3,5,5,Groom,643.6222534,Q2,PHN304,Darling Downs and West Moreton,Lockyer Valley,34580,Wright,Rural,892,332264
2570,7697,18586,33.4,56237,33932,21207,1098,6199,1495,3,340176,"2,177,124",439.9,1304,BELIMBLA PARK,NSW,150.525292,-34.042913,NARELLAN DC,Delivery Area,Updated 6-Feb-2020,12701,Bringelly - Green Valley,127,Sydney - South West,R1,-34.0856753,150.5385422,12303144805,12303144805,123031448,The Oaks - Oakdale,12303,Wollondilly,123,Sydney - Outer South West,2,2,2,2,Hume,352.1418457,N1,PHN105,South Western Sydney,Wollondilly,18400,Macarthur,Outer Metropolitan,888,341274
4306,11552,14954,68.3,66157,46953,18723,481,10221,1330,1,358200,"2,292,478",483.5,12031,AMBERLEY,QLD,152.725408,-27.480898,BOOVAL DC,Delivery Area,Updated 6-Feb-2020,31902,Burnett,319,Wide Bay,R3,-27.633333,152.7,31002128230,31002128230,310021282,Rosewood,31002,Ipswich Hinterland,310,Ipswich,1,1,1,1,Blair,127.8403931,Q2,PHN304,Darling Downs and West Moreton,Ipswich,33960,Wright,Rural,888,358681
