"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"59340","Wyndham-East Kimberley (S)","WA","4061","3957","359","6.6","1550","2511","0","262","97","0"
"59350","Yalgoo (S)","WA","223","130","23","14.1","95","128","0","18","5","0"
"59360","Yilgarn (S)","WA","923","687","159","21.5","773","150","0","148","11","0"
"59370","York (S)","WA","4188","1969","881","43.4","3528","660","0","855","26","0"
"60210","Break O'Day (M)","TAS","5424","4636","1062","21.9","4345","1079","0","1015","47","0"
"60410","Brighton (M)","TAS","8506","7084","1656","22.4","7113","1073","320","1590","65","1"
"60610","Burnie (C)","TAS","7545","9592","1269","12.5","5472","1937","136","1197","71","1"
"60810","Central Coast (M) (Tas.)","TAS","10770","10944","2057","17.8","8710","2060","0","1950","107","0"
"61010","Central Highlands (M) (Tas.)","TAS","922","1037","180","16.6","751","171","0","172","8","0"
"61210","Circular Head (M)","TAS","4146","3847","603","14.7","2773","1064","309","564","37","2"
"61410","Clarence (C)","TAS","25203","25847","5052","18.6","20476","4727","0","4819","233","0"
"61510","Derwent Valley (M)","TAS","4279","5093","825","15.5","3415","864","0","788","37","0"
"61610","Devonport (C)","TAS","10802","12261","1909","14.7","7705","2326","771","1804","103","2"
"61810","Dorset (M)","TAS","4019","4263","762","17.1","2977","1042","0","727","35","0"
"62010","Flinders (M) (Tas.)","TAS","2985","615","227","34.1","750","235","2000","210","16","1"
"62210","George Town (M)","TAS","4691","3448","834","23.2","3617","771","303","801","32","1"
"62410","Glamorgan/Spring Bay (M)","TAS","4140","3795","825","20.8","3333","807","0","789","36","0"
"62610","Glenorchy (C)","TAS","14338","19589","3010","14.8","11241","2689","408","2904","105","1"
"62810","Hobart (C)","TAS","17848","19372","3539","17.2","13114","4329","405","3338","200","1"
"63010","Huon Valley (M)","TAS","10981","8628","2183","24.2","8684","2297","0","2087","96","0"
"63210","Kentish (M)","TAS","3608","2789","693","23.4","2683","925","0","652","41","0"
"63410","King Island (M)","TAS","2313","812","309","31.7","1292","1021","0","257","52","0"
"63610","Kingborough (M)","TAS","19406","17431","4069","22.6","16599","2528","279","3946","121","2"
"63810","Latrobe (M) (Tas.)","TAS","6480","5559","1181","20.0","4991","1489","0","1110","71","0"
"64010","Launceston (C)","TAS","30751","28363","5247","17.4","21246","9054","451","4921","324","2"
"64210","Meander Valley (M)","TAS","11563","9530","2037","20.1","8355","3208","0","1915","122","0"
"64610","Northern Midlands (M)","TAS","8565","6195","1358","20.3","5456","2862","247","1258","99","1"
"64810","Sorell (M)","TAS","7698","7889","1692","20.8","6794","904","0","1639","53","0"
"65010","Southern Midlands (M)","TAS","2841","2814","582","19.8","2372","469","0","557","25","0"
"65210","Tasman (M)","TAS","1757","2263","376","15.8","1439","318","0","357","19","0"
"65410","Waratah/Wynyard (M)","TAS","6510","7133","1239","16.5","5207","1303","0","1175","64","0"
"65610","West Coast (M)","TAS","1501","2694","274","9.9","1282","219","0","266","8","0"
"65810","West Tamar (M)","TAS","14365","10685","2868","25.6","11779","2586","0","2740","128","0"
"70200","Alice Springs (T)","NT","23245","12166","3155","24.3","14567","6536","2142","2957","191","7"
"70420","Barkly (R)","NT","3104","2884","307","8.5","1251","1400","453","246","60","1"
"70540","Belyuen (S)","NT","78","58","7","9.7","37","41","0","6","1","0"
"70620","Central Desert (R)","NT","2282","1250","76","3.9","241","703","1338","48","24","4"
